exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
binance,Binance,1,30.030188877880502896000000000000000000,4068221719.2433635812751501,756,True,https://www.binance.com/,1720323758912
whitebit,WhiteBIT,2,8.652240716465136346000000000000000000,1172128278.8458289365984757,87,False,https://whitebit.com,1720323771332
gdax,Coinbase Pro,3,7.731068542450286540000000000000000000,1047336101.8558873460546431,213,True,https://pro.coinbase.com/,1720323770023
bibox,Bibox,4,7.255418673052201992000000000000000000,982899306.6925420240396071,116,False,https://www.bibox.com,1720323771093
huobi,Huobi,5,4.995314250153849344000000000000000000,676720549.7628582949155933,187,True,https://www.hbg.com/,1720323745873
gate,Gate,6,4.633526515432483301000000000000000000,627708779.4361843451619718,1296,False,https://gate.io/,1720323771330
digifinex,DigiFinex,7,4.518673412852362312000000000000000000,612149507.1206146788976885,125,False,https://www.digifinex.com/,1720323764803
lbank,LBank,8,4.284525402105596964000000000000000000,580429226.3487792425245811,64,False,https://www.lbank.info,1720323709987
bitmax,AscendEX (Bitmax),9,4.026849505329972171000000000000000000,545521597.7603940734673748,171,False,https://www.bitmax.io/,1720323764632
crypto,Crypto.com Exchange,10,3.860128377690910741000000000000000000,522935708.7646187835051433,114,False,https://api.crypto.com/,1720323750723
probit,ProBit,11,3.297230400525961656000000000000000000,446679319.3781586216326832,348,False,https://www.probit.com/en-us/,1720323769767
bigone,BigONE,12,2.196110314045065637000000000000000000,297509406.7434673546252887,63,False,https://big.one/,1720323765395
kucoin,Kucoin,13,2.028739323915025823000000000000000000,274835480.1828578586404810,545,False,https://www.kucoin.io/,1720323771346
currency-com,Currency.com,14,1.934103228338423754000000000000000000,262015027.3706977156709815,65,False,https://currency.com/,1720323771034
kraken,Kraken,15,1.867442030623159776000000000000000000,252984363.8114762570627445,322,False,https://kraken.com,1720323770508
yobit,YoBit,16,1.561496287187333201000000000000000000,211537567.6085902440643034,61,False,https://yobit.net,1720323770958
tidex,Tidex,17,1.403868274094755889000000000000000000,190183532.5396752824965694,20,False,https://tidex.com/,1720323770995
bitfinex,Bitfinex,18,1.047357697276077677000000000000000000,141886664.4230039035221432,185,True,https://bitfinex.com,1720323764612
bitstamp,Bitstamp,19,0.978545992747684604000000000000000000,132564669.4119514270450415,94,True,https://www.bitstamp.net/,1720323767018
hitbtc,HitBTC,20,0.641506118129812160000000000000000000,86905518.0910136424227909,681,True,https://hitbtc.com/,1720323771405
dex-trade,Dex-Trade,21,0.524876949907617323000000000000000000,71105640.2684566787530388,85,False,https://dex-trade.com/,1720323770929
bitflyer,Bitflyer,22,0.378763729117355900000000000000000000,51311526.3950877921784716,4,False,https://bitflyer.com/,1720323742640
